2026-02-07 15:41:33,841 | ERROR    | Referee | Main loop exception: ContractEvent.get_logs() got an unexpected keyword argument 'fromBlock'. Did you mean 'from_block'?
2026-02-07 15:41:39,063 | ERROR    | Referee | Main loop exception: ContractEvent.get_logs() got an unexpected keyword argument 'fromBlock'. Did you mean 'from_block'?
2026-02-07 15:41:44,199 | ERROR    | Referee | Main loop exception: ContractEvent.get_logs() got an unexpected keyword argument 'fromBlock'. Did you mean 'from_block'?
2026-02-07 15:41:49,334 | ERROR    | Referee | Main loop exception: ContractEvent.get_logs() got an unexpected keyword argument 'fromBlock'. Did you mean 'from_block'?
2026-02-07 15:41:53,840 | INFO     | Referee | Received signal 15. Finalizing current task before shutdown...
2026-02-07 15:41:54,844 | INFO     | Referee | Persistence layer initialized (SQLite)
2026-02-07 15:41:54,845 | INFO     | Referee | ============================================================
2026-02-07 15:41:54,845 | INFO     | Referee | 🤖 THE ARBITER - Professional Referee Node
2026-02-07 15:41:54,845 | INFO     | Referee | Address:  0xF2E7E2f51D7C9eEa9B0313C2eCa12f8e43bd1855
2026-02-07 15:41:54,846 | INFO     | Referee | Target:   0xAf4E58b7E9b6F95697E454224825a4539AD08991
2026-02-07 15:41:54,846 | INFO     | Referee | ============================================================
2026-02-07 15:41:54,850 | INFO     | Referee | 🩺 Health check server active on port 8080
2026-02-07 15:41:55,323 | INFO     | Referee | Recovery: Scanning from block 11268393...
2026-02-07 15:42:03,887 | INFO     | Referee | Received signal 15. Finalizing current task before shutdown...
